SV_ID	CHR	DUP_start	DUP_end	gene_id	gene_name	gene_chr	gene_start	gene_end	gene_biotype
DUP00000025	1	70345860	75529764	ENSBTAG00000003378	ACAP2	1	72150081	72264225	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000036946	U1	1	72276586	72276731	snRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000054986	ACAP2	1	72278287	72317902	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000014564	XXYLT1	1	72326705	72499174	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000008462	FAM43A	1	72861563	72862834	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000008461	LSG1	1	72877165	72901758	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000002394	TMEM44	1	72908919	72956817	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000045117	bta-mir-2287	1	72959121	72959194	miRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000013204	ATP13A3	1	73048103	73125832	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000013203	GP5	1	73132670	73134289	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000038600	LRRC15	1	73171521	73173275	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000032656	CPN2	1	73178781	73188076	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000048497	NA	1	73253996	73257620	lncRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000000569	HES1	1	73362759	73365438	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000019514	OPA1	1	73771857	73856448	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000016305	ATP13A4	1	73893640	74020388	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000054354	bta-mir-2285bk	1	73941736	73941792	miRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000018657	ATP13A5	1	74043235	74159562	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000035844	PLAAT1	1	74163666	74183456	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000005430	MB21D2	1	74489024	74609955	protein_coding
DUP00000025	1	70345860	75529764	ENSBTAG00000053503	NA	1	74675757	74698158	lncRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000055130	bta-mir-10182	1	74829775	74829854	miRNA
DUP00000025	1	70345860	75529764	ENSBTAG00000012413	FGF12	1	74876548	75283017	protein_coding
DUP00000197	4	106053821	106056374	ENSBTAG00000049004	NA	4	105880111	106056262	protein_coding
DUP00000197	4	106053821	106056374	ENSBTAG00000051147	NA	4	106051439	106054690	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000014402	GIMAP8	4	112850270	112874233	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000009850	GIMAP7	4	112898193	112907030	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000039588	NA	4	112939116	112945712	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000001198	GIMAP7	4	112958076	112958969	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000053452	NA	4	113007779	113011711	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000046257	GIMAP4	4	113066865	113074368	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000030940	GIMAP7	4	113112102	113120508	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000040331	NA	4	113131167	113139056	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000011240	NA	4	113192316	113193196	pseudogene
DUP00000200	4	112827565	113283920	ENSBTAG00000054649	NA	4	113233116	113240464	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000050052	NA	4	113262253	113268350	protein_coding
DUP00000200	4	112827565	113283920	ENSBTAG00000008550	GIMAP7	4	113276469	113287212	protein_coding
DUP00000289	6	5432986	5800660	ENSBTAG00000024888	PDE5A	6	5745779	5894011	protein_coding
DUP00000340	6	95709208	95710743	ENSBTAG00000035776	CFAP299	6	95026428	95733063	protein_coding
DUP00000340	6	95709208	95710743	ENSBTAG00000054713	NA	6	95027256	95729376	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000037941	QTRT1	7	15188036	15197535	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000013362	DNM2	7	15209049	15297760	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000029890	bta-mir-3604-1	7	15283405	15283487	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000010968	TMED1	7	15298592	15301886	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004224	C7H19orf38	7	15308803	15319511	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000012048	CARM1	7	15319706	15362293	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000025606	YIPF2	7	15362807	15368373	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000045893	TIMM29	7	15368533	15370410	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000019220	SMARCA4	7	15424807	15515086	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000054591	NA	7	15488031	15488216	misc_RNA
DUP00000368	7	15183846	62721171	ENSBTAG00000029206	5S_rRNA	7	15507786	15507905	rRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000048951	U6	7	15539860	15539966	snRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000012314	LDLR	7	15545282	15579093	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006185	SPC24	7	15587514	15594237	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000009568	KANK2	7	15601585	15628102	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000009569	DOCK6	7	15628759	15676178	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000009570	ANGPTL8	7	15656227	15660222	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002148	RAB3D	7	15736270	15747432	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000016429	TMEM205	7	15749276	15751958	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000032292	CCDC159	7	15752075	15759370	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008192	PLPPR2	7	15759391	15768139	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008196	SWSAP1	7	15772589	15774930	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008197	EPOR	7	15775449	15781166	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008198	RGL3	7	15785486	15800362	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008201	CCDC151	7	15800804	15811483	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008202	PRKCSH	7	15811857	15825182	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000014412	ELAVL3	7	15828841	15844379	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000014415	ZNF653	7	15846201	15863557	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000015049	ECSIT	7	15862527	15874429	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000011207	CNN1	7	15883405	15891295	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000038151	ELOF1	7	15896010	15902152	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004826	ACP5	7	15911386	15915021	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000038680	NA	7	15962825	15963943	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000043777	U4	7	15980316	15980445	snRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000030929	ZNF557	7	15992197	16008612	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000046336	NA	7	16031475	16034336	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000047612	NA	7	16042405	16044281	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000012687	INSR	7	16058828	16183062	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000040507	NA	7	16245817	16345949	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000018894	PEX11G	7	16347652	16361803	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002629	TEX45	7	16368804	16373988	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000046837	ZNF358	7	16386268	16388881	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000005592	MCOLN1	7	16390698	16399664	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000032137	PNPLA6	7	16399795	16424614	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000011356	CAMSAP3	7	16447830	16464459	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000011360	XAB2	7	16450200	16474545	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000048824	PET100	7	16474631	16476389	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008906	PCP2	7	16476406	16477872	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000009178	STXBP2	7	16482854	16491641	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004716	RETN	7	16513147	16514562	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004714	MCEMP1	7	16521617	16525532	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004268	TRAPPC5	7	16526036	16528271	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004270	FCER2	7	16531763	16544273	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000013429	CLEC4G	7	16561209	16564690	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000007312	CD209	7	16586871	16589914	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004294	EVI5L	7	16608165	16640661	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000044018	PRR36	7	16643893	16647693	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004300	LRRC8E	7	16653091	16660988	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000010639	MAP2K7	7	16662127	16672289	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000049668	NA	7	16673648	16675200	pseudogene
DUP00000368	7	15183846	62721171	ENSBTAG00000014926	SNAPC2	7	16674793	16679420	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000015567	TIMM44	7	16680584	16695716	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000044869	bta-mir-2455	7	16711356	16711431	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000049345	bta-mir-10178	7	16712681	16712756	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000000613	ELAVL1	7	16714677	16752222	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000052882	NA	7	16752338	16775155	lncRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000005581	CCL25	7	16776216	16779697	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000000595	FBN3	7	16782097	16851987	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000003434	CERS4	7	16897413	16933305	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004403	CD320	7	16951668	16957071	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000052280	NDUFA7	7	16959614	16967925	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002468	RPS28	7	16968061	16969193	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002469	KANK3	7	16969536	16980780	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002473	ANGPTL4	7	17005585	17012660	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002475	RAB11B	7	17018658	17029983	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000021036	MARCHF2	7	17038180	17052477	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000021039	HNRNPM	7	17058539	17098633	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000021041	PRAM1	7	17099634	17108565	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000007660	ZNF414	7	17112595	17116261	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000007661	MYO1F	7	17119429	17157724	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000045060	SNORA70	7	17141803	17141888	snoRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000044522	bta-mir-339b	7	17148728	17148785	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000014207	ADAMTS10	7	17159713	17179480	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000011255	ACTL9	7	17250902	17252340	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000051841	OR2Z1	7	17264340	17266724	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000054873	NA	7	17276950	17277919	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000053612	NA	7	17297526	17303320	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000052571	NA	7	17365258	17476991	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000049797	NA	7	17376520	17376809	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000038981	NA	7	17503879	17534955	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000007901	ADGRE1	7	17557794	17633496	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000039160	VAV1	7	17664498	17728163	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000013857	SH2D3A	7	17732309	17747008	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000047424	TRIP10	7	17747332	17757129	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000055025	bta-mir-6535	7	17755619	17755691	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000017291	GPR108	7	17759546	17767568	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000017280	C3	7	17773675	17810616	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000045856	bta-mir-3432b	7	17838214	17838310	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000012223	TNFSF14	7	17839032	17843838	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000009752	CD70	7	17903865	17908687	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000046266	TNFSF9	7	17963471	17966413	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000054505	NA	7	17975734	17982568	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000021013	TUBB4A	7	17981998	17988028	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000051810	NA	7	17984999	17985379	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000031809	DENND1C	7	17996263	18005955	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000051530	CRB3	7	18006370	18008564	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000003491	SLC25A23	7	18011743	18026173	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000020017	SLC25A41	7	18027580	18034407	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000021018	KHSRP	7	18035388	18047821	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000021016	GTF2F1	7	18063616	18069587	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000031794	PSPN	7	18073040	18073585	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000025540	ALKBH7	7	18073858	18075473	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000014712	CLPP	7	18077043	18084803	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008095	ACER1	7	18105651	18128839	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002277	MLLT1	7	18141671	18210109	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000049278	NA	7	18239099	18245091	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000009105	ACSBG2	7	18256064	18269611	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000017661	RFX2	7	18305239	18398128	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006070	RANBP3	7	18414908	18464857	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006069	CAPS	7	18466099	18467633	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006067	VMAC	7	18469286	18472439	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000019025	NDUFA11	7	18473539	18479129	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000000414	FUT6	7	18515026	18516457	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000000413	NRTN	7	18518580	18532314	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000011842	DUS3L	7	18541354	18546361	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000025550	PRR22	7	18545676	18548664	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000042283	NA	7	18550534	18550613	snoRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000042910	NA	7	18550778	18550847	snoRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000001796	CATSPERD	7	18552769	18589512	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000001795	LONP1	7	18590319	18608816	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000001794	RPL36	7	18608950	18610219	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000001793	HSD11B1L	7	18611628	18616460	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000001792	MICOS13	7	18617143	18618572	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000007875	SAFB	7	18621612	18651390	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000051794	NA	7	18669526	18683341	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000001790	SAFB2	7	18682927	18711822	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000050845	NA	7	18713831	18714274	pseudogene
DUP00000368	7	15183846	62721171	ENSBTAG00000054317	NA	7	18733217	18737297	lncRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000051350	NA	7	18835671	18838466	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000018052	PTPRS	7	18936414	19046578	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000015487	KDM4B	7	19096391	19175953	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000002224	UHRF1	7	19223877	19257053	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000031673	ARRDC5	7	19261039	19274362	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000011805	PLIN3	7	19291174	19311897	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000054796	NA	7	19320952	19335534	lncRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000019966	TICAM1	7	19335555	19337855	pseudogene
DUP00000368	7	15183846	62721171	ENSBTAG00000003476	FEM1A	7	19353553	19357132	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000029968	bta-mir-7-3	7	19372417	19372498	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000021134	DPP9	7	19428848	19469011	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000018655	MYDGF	7	19470114	19482055	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000037765	TNFAIP8L1	7	19483938	19503011	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000053768	bta-mir-2285by	7	19542123	19542178	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000031658	SEMA6B	7	19574478	19584168	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000054824	NA	7	19584464	19585512	lncRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000031647	LRG1	7	19596244	19599321	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000038464	PLIN5	7	19600448	19611770	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000015690	PLIN4	7	19614545	19626137	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000013251	HDGFL2	7	19627416	19645495	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008186	UBXN6	7	19663055	19674553	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008181	CHAF1A	7	19676722	19701793	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006007	SH3GL1	7	19706831	19734112	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006005	MPND	7	19734266	19744478	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006001	STAP2	7	19749298	19761854	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000054165	NA	7	19754050	19755654	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000005999	FSD1	7	19761502	19774023	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004936	TMIGD2	7	19775155	19782514	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000039696	SHD	7	19783231	19791715	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000012830	YJU2	7	19797987	19812101	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000012829	EBI3	7	19814211	19819636	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000054046	NA	7	19820672	19821713	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000050565	NA	7	19829048	19830883	lncRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000052694	NA	7	19840981	19842954	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000019909	SIRT6	7	19856911	19865253	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000010215	CREB3L3	7	19866004	19877349	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000024450	MAP2K2	7	19909945	19932216	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000053437	NA	7	19935094	19939137	lncRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000020117	ZBTB7A	7	19956235	19976863	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000000753	PIAS4	7	19978943	20004157	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000045914	NA	7	20022563	20022973	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000004258	EEF2	7	20027762	20036651	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000051833	bta-mir-1434	7	20030713	20030785	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000042383	NA	7	20030719	20030783	snoRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000020417	DAPK3	7	20040198	20053609	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000045270	bta-mir-2456	7	20047255	20047326	miRNA
DUP00000368	7	15183846	62721171	ENSBTAG00000031573	NMRK2	7	20064778	20069191	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000018375	ATCAY	7	20081660	20119357	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000051828	NA	7	20083019	20115352	pseudogene
DUP00000368	7	15183846	62721171	ENSBTAG00000000755	ZFR2	7	20132959	20178566	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000006619	MATK	7	20195053	20203174	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000009750	RAX2	7	20206334	20209157	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008396	MRPL54	7	20209218	20212341	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000008395	APBA3	7	20214159	20223118	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000018342	TJP3	7	20221723	20252247	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000000710	PIP5K1C	7	20261476	20311632	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000010373	CACTIN	7	20313628	20324899	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000014944	TBXA2R	7	20334826	20343537	protein_coding
DUP00000368	7	15183846	62721171	ENSBTAG00000053812	NA	7	20343967	20346465	protein_coding
